completed,_id,description,owner,createdAt,updatedAt,__v
False,626f9aa75e089b0017eb623a,Task10,626f6e365e089b0017eb5f06,2022-05-02T08:47:35.170Z,2022-05-02T08:47:35.170Z,0
False,626f9aa95e089b0017eb623b,Task11,626f6e365e089b0017eb5f06,2022-05-02T08:47:37.399Z,2022-05-02T08:47:37.399Z,0
False,626f9aab5e089b0017eb623c,Task12,626f6e365e089b0017eb5f06,2022-05-02T08:47:39.145Z,2022-05-02T08:47:39.145Z,0
False,626f9aac5e089b0017eb623d,Task13,626f6e365e089b0017eb5f06,2022-05-02T08:47:40.890Z,2022-05-02T08:47:40.890Z,0
False,626f9aae5e089b0017eb623e,Task14,626f6e365e089b0017eb5f06,2022-05-02T08:47:42.618Z,2022-05-02T08:47:42.618Z,0
False,626f9ab05e089b0017eb623f,Task15,626f6e365e089b0017eb5f06,2022-05-02T08:47:44.370Z,2022-05-02T08:47:44.370Z,0
False,626f9ab25e089b0017eb6240,Task16,626f6e365e089b0017eb5f06,2022-05-02T08:47:46.098Z,2022-05-02T08:47:46.098Z,0
False,626f9ab35e089b0017eb6241,Task17,626f6e365e089b0017eb5f06,2022-05-02T08:47:47.709Z,2022-05-02T08:47:47.709Z,0
False,626f9ab55e089b0017eb6242,Task18,626f6e365e089b0017eb5f06,2022-05-02T08:47:49.723Z,2022-05-02T08:47:49.723Z,0
False,626f9ab75e089b0017eb6243,Task19,626f6e365e089b0017eb5f06,2022-05-02T08:47:51.428Z,2022-05-02T08:47:51.428Z,0
False,626f9ab95e089b0017eb6244,Task20,626f6e365e089b0017eb5f06,2022-05-02T08:47:53.067Z,2022-05-02T08:47:53.067Z,0
False,626fb0865e089b0017eb646d,Task1,626f6e365e089b0017eb5f06,2022-05-02T10:20:54.274Z,2022-05-02T10:20:54.274Z,0
False,626fb0885e089b0017eb646e,Task2,626f6e365e089b0017eb5f06,2022-05-02T10:20:56.018Z,2022-05-02T10:20:56.018Z,0
False,626fb0895e089b0017eb646f,Task3,626f6e365e089b0017eb5f06,2022-05-02T10:20:57.648Z,2022-05-02T10:20:57.648Z,0
False,626fb08b5e089b0017eb6470,Task4,626f6e365e089b0017eb5f06,2022-05-02T10:20:59.284Z,2022-05-02T10:20:59.284Z,0
False,626fb08c5e089b0017eb6471,Task5,626f6e365e089b0017eb5f06,2022-05-02T10:21:00.938Z,2022-05-02T10:21:00.938Z,0
False,626fb08e5e089b0017eb6472,Task6,626f6e365e089b0017eb5f06,2022-05-02T10:21:02.670Z,2022-05-02T10:21:02.670Z,0
False,626fb0905e089b0017eb6474,Task7,626f6e365e089b0017eb5f06,2022-05-02T10:21:04.307Z,2022-05-02T10:21:04.307Z,0
False,626fb0925e089b0017eb6475,Task8,626f6e365e089b0017eb5f06,2022-05-02T10:21:06.049Z,2022-05-02T10:21:06.049Z,0
False,626fb0945e089b0017eb6476,Task9,626f6e365e089b0017eb5f06,2022-05-02T10:21:08.090Z,2022-05-02T10:21:08.090Z,0
False,626fb0955e089b0017eb6477,Task10,626f6e365e089b0017eb5f06,2022-05-02T10:21:09.827Z,2022-05-02T10:21:09.827Z,0
False,626fb0975e089b0017eb6479,Task11,626f6e365e089b0017eb5f06,2022-05-02T10:21:11.877Z,2022-05-02T10:21:11.877Z,0
False,626fb0995e089b0017eb647a,Task12,626f6e365e089b0017eb5f06,2022-05-02T10:21:13.521Z,2022-05-02T10:21:13.521Z,0
False,626fb09b5e089b0017eb647b,Task13,626f6e365e089b0017eb5f06,2022-05-02T10:21:15.266Z,2022-05-02T10:21:15.266Z,0
False,626fb09c5e089b0017eb647c,Task14,626f6e365e089b0017eb5f06,2022-05-02T10:21:16.858Z,2022-05-02T10:21:16.858Z,0
False,626fb09e5e089b0017eb647d,Task15,626f6e365e089b0017eb5f06,2022-05-02T10:21:18.852Z,2022-05-02T10:21:18.852Z,0
False,626fb0a05e089b0017eb647e,Task16,626f6e365e089b0017eb5f06,2022-05-02T10:21:20.520Z,2022-05-02T10:21:20.520Z,0
False,626fb0a25e089b0017eb647f,Task17,626f6e365e089b0017eb5f06,2022-05-02T10:21:22.218Z,2022-05-02T10:21:22.218Z,0
False,626fb0a45e089b0017eb6480,Task18,626f6e365e089b0017eb5f06,2022-05-02T10:21:24.179Z,2022-05-02T10:21:24.179Z,0
False,626fb0a55e089b0017eb6481,Task19,626f6e365e089b0017eb5f06,2022-05-02T10:21:25.906Z,2022-05-02T10:21:25.906Z,0
False,626fb0a75e089b0017eb6482,Task20,626f6e365e089b0017eb5f06,2022-05-02T10:21:27.554Z,2022-05-02T10:21:27.554Z,0
